Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
1. Østerbro;1. 1. Østerbro;Å;Alternativet;Noah Sturis;1
1. Østerbro;1. 1. Østerbro;Å;Alternativet;Jakob Ravn Karlsen;1
1. Østerbro;1. 1. Østerbro;Å;Alternativet;Jan Schumann;1
1. Østerbro;1. 1. Østerbro;Å;Alternativet;Lise Coermann;36
1. Østerbro;1. 1. Østerbro;(Uden for parti);(Uden for parti);Rashid Ali;0
1. Østerbro;1. 1. Østerbro;(Uden for parti);(Uden for parti);Rasmus Paludan;0
1. Østerbro;1. 1. Østerbro;(Uden for parti);(Uden for parti);Theresa Scavenius;15
1. Østerbro;1. 1. Østerbro;(Uden for parti);(Uden for parti);John Erik Wagner;0
1. Østerbro;2. 1. Nord;A;Socialdemokratiet;Partiliste;466
1. Østerbro;2. 1. Nord;A;Socialdemokratiet;Mette Reissmann;63
1. Østerbro;2. 1. Nord;A;Socialdemokratiet;Yildiz Akdogan;11
1. Østerbro;2. 1. Nord;A;Socialdemokratiet;Sophie Hæstorp Andersen;16
1. Østerbro;2. 1. Nord;A;Socialdemokratiet;Ida Auken;116
1. Østerbro;2. 1. Nord;A;Socialdemokratiet;Stig Ekman;2
1. Østerbro;2. 1. Nord;A;Socialdemokratiet;Jarl Feyling;1
1. Østerbro;2. 1. Nord;A;Socialdemokratiet;Camilla Hoffmann;2
1. Østerbro;2. 1. Nord;A;Socialdemokratiet;Peter Hummelgaard;66
1. Østerbro;2. 1. Nord;A;Socialdemokratiet;Erik Jensen;1
1. Østerbro;2. 1. Nord;A;Socialdemokratiet;Emilla Møller;2
1. Østerbro;2. 1. Nord;A;Socialdemokratiet;Asbjørn Reissmann;6
1. Østerbro;2. 1. Nord;A;Socialdemokratiet;Marcus Vesterager;4
1. Østerbro;2. 1. Nord;B;Radikale Venstre;Partiliste;392
1. Østerbro;2. 1. Nord;B;Radikale Venstre;Helene Langager;35
1. Østerbro;2. 1. Nord;B;Radikale Venstre;Samira Nawa;109
1. Østerbro;2. 1. Nord;B;Radikale Venstre;Thomas Rohden;42
1. Østerbro;2. 1. Nord;B;Radikale Venstre;Frederik Rosberg;5
