Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
1. Rønne;9. Hasle;B;Radikale Venstre;Laila Stougaard Kofoed Espersen;7
1. Rønne;9. Hasle;C;Det Konservative Folkeparti;Partiliste;28
1. Rønne;9. Hasle;C;Det Konservative Folkeparti;Kristoffer Kromand;29
1. Rønne;9. Hasle;C;Det Konservative Folkeparti;Peter Svarre Fridolf;4
1. Rønne;9. Hasle;F;SF - Socialistisk Folkeparti;Partiliste;87
1. Rønne;9. Hasle;F;SF - Socialistisk Folkeparti;Sofie Christiansen;23
1. Rønne;9. Hasle;F;SF - Socialistisk Folkeparti;Sebastian Bloch Jensen;59
1. Rønne;9. Hasle;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;39
1. Rønne;9. Hasle;H;Borgernes Parti - Lars Boje Mathiesen;Charlotte Friberg Henriksen;2
1. Rønne;9. Hasle;I;Liberal Alliance;Partiliste;67
1. Rønne;9. Hasle;I;Liberal Alliance;Eik Dahl Bidstrup;8
1. Rønne;9. Hasle;M;Moderaterne;Partiliste;46
1. Rønne;9. Hasle;M;Moderaterne;Kirstine van Sabben;49
1. Rønne;9. Hasle;M;Moderaterne;Lasse Oszadlik;1
1. Rønne;9. Hasle;O;Dansk Folkeparti;Partiliste;161
1. Rønne;9. Hasle;O;Dansk Folkeparti;Bo Vibe Ancher Jensen;54
1. Rønne;9. Hasle;V;Venstre, Danmarks Liberale Parti;Partiliste;36
1. Rønne;9. Hasle;V;Venstre, Danmarks Liberale Parti;Peter Juel-Jensen;198
1. Rønne;9. Hasle;V;Venstre, Danmarks Liberale Parti;Niklas Stenbye;44
1. Rønne;9. Hasle;V;Venstre, Danmarks Liberale Parti;Birthe Tindbæk Bredo;2
1. Rønne;9. Hasle;Æ;Danmarksdemokraterne - Inger Støjberg;Partiliste;66
1. Rønne;9. Hasle;Æ;Danmarksdemokraterne - Inger Støjberg;Michael Hendriksen;16
1. Rønne;9. Hasle;Ø;Enhedslisten - De Rød-Grønne;Partiliste;50
1. Rønne;9. Hasle;Ø;Enhedslisten - De Rød-Grønne;Morten Riis;23
1. Rønne;9. Hasle;Ø;Enhedslisten - De Rød-Grønne;Helle Munk Ravnborg;16
1. Rønne;9. Hasle;Ø;Enhedslisten - De Rød-Grønne;Asta Kofod;9
1. Rønne;9. Hasle;Å;Alternativet;Partiliste;22
1. Rønne;9. Hasle;Å;Alternativet;Sofie Valbjørn;2
1. Rønne;9. Hasle;Å;Alternativet;Kim Hjerrild;2
2. Aakirkeby;0. Christiansø;A;Socialdemokratiet;Partiliste;13
2. Aakirkeby;0. Christiansø;A;Socialdemokratiet;Lea Wermelin;4
2. Aakirkeby;0. Christiansø;A;Socialdemokratiet;Kasper Flygare;0
2. Aakirkeby;0. Christiansø;A;Socialdemokratiet;Christian Faurholdt Jeppesen;0
2. Aakirkeby;0. Christiansø;B;Radikale Venstre;Partiliste;1
2. Aakirkeby;0. Christiansø;B;Radikale Venstre;Simon Bech Munch-Petersen;0
2. Aakirkeby;0. Christiansø;B;Radikale Venstre;Laila Stougaard Kofoed Espersen;0
2. Aakirkeby;0. Christiansø;C;Det Konservative Folkeparti;Partiliste;2
2. Aakirkeby;0. Christiansø;C;Det Konservative Folkeparti;Peter Svarre Fridolf;0
2. Aakirkeby;0. Christiansø;C;Det Konservative Folkeparti;Kristoffer Kromand;0
2. Aakirkeby;0. Christiansø;F;SF - Socialistisk Folkeparti;Partiliste;12
2. Aakirkeby;0. Christiansø;F;SF - Socialistisk Folkeparti;Sebastian Bloch Jensen;0
2. Aakirkeby;0. Christiansø;F;SF - Socialistisk Folkeparti;Sofie Christiansen;0
2. Aakirkeby;0. Christiansø;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;1
2. Aakirkeby;0. Christiansø;H;Borgernes Parti - Lars Boje Mathiesen;Charlotte Friberg Henriksen;0
2. Aakirkeby;0. Christiansø;I;Liberal Alliance;Partiliste;0
2. Aakirkeby;0. Christiansø;I;Liberal Alliance;Eik Dahl Bidstrup;0
2. Aakirkeby;0. Christiansø;M;Moderaterne;Partiliste;3
2. Aakirkeby;0. Christiansø;M;Moderaterne;Kirstine van Sabben;0
2. Aakirkeby;0. Christiansø;M;Moderaterne;Lasse Oszadlik;0
2. Aakirkeby;0. Christiansø;O;Dansk Folkeparti;Partiliste;1
2. Aakirkeby;0. Christiansø;O;Dansk Folkeparti;Bo Vibe Ancher Jensen;0
2. Aakirkeby;0. Christiansø;V;Venstre, Danmarks Liberale Parti;Partiliste;1
2. Aakirkeby;0. Christiansø;V;Venstre, Danmarks Liberale Parti;Peter Juel-Jensen;1
2. Aakirkeby;0. Christiansø;V;Venstre, Danmarks Liberale Parti;Niklas Stenbye;0
2. Aakirkeby;0. Christiansø;V;Venstre, Danmarks Liberale Parti;Birthe Tindbæk Bredo;0
2. Aakirkeby;0. Christiansø;Æ;Danmarksdemokraterne - Inger Støjberg;Partiliste;2
2. Aakirkeby;0. Christiansø;Æ;Danmarksdemokraterne - Inger Støjberg;Michael Hendriksen;0
2. Aakirkeby;0. Christiansø;Ø;Enhedslisten - De Rød-Grønne;Partiliste;5
2. Aakirkeby;0. Christiansø;Ø;Enhedslisten - De Rød-Grønne;Morten Riis;0
2. Aakirkeby;0. Christiansø;Ø;Enhedslisten - De Rød-Grønne;Helle Munk Ravnborg;0
2. Aakirkeby;0. Christiansø;Ø;Enhedslisten - De Rød-Grønne;Asta Kofod;1
2. Aakirkeby;0. Christiansø;Å;Alternativet;Partiliste;6
2. Aakirkeby;0. Christiansø;Å;Alternativet;Kim Hjerrild;0
2. Aakirkeby;0. Christiansø;Å;Alternativet;Sofie Valbjørn;0
2. Aakirkeby;1. Allinge;A;Socialdemokratiet;Partiliste;222
2. Aakirkeby;1. Allinge;A;Socialdemokratiet;Lea Wermelin;320
2. Aakirkeby;1. Allinge;A;Socialdemokratiet;Kasper Flygare;36
2. Aakirkeby;1. Allinge;A;Socialdemokratiet;Christian Faurholdt Jeppesen;13
2. Aakirkeby;1. Allinge;B;Radikale Venstre;Partiliste;32
2. Aakirkeby;1. Allinge;B;Radikale Venstre;Simon Bech Munch-Petersen;1
2. Aakirkeby;1. Allinge;B;Radikale Venstre;Laila Stougaard Kofoed Espersen;12
2. Aakirkeby;1. Allinge;C;Det Konservative Folkeparti;Partiliste;28
2. Aakirkeby;1. Allinge;C;Det Konservative Folkeparti;Peter Svarre Fridolf;4
2. Aakirkeby;1. Allinge;C;Det Konservative Folkeparti;Kristoffer Kromand;10
2. Aakirkeby;1. Allinge;F;SF - Socialistisk Folkeparti;Partiliste;132
2. Aakirkeby;1. Allinge;F;SF - Socialistisk Folkeparti;Sebastian Bloch Jensen;94
2. Aakirkeby;1. Allinge;F;SF - Socialistisk Folkeparti;Sofie Christiansen;16
2. Aakirkeby;1. Allinge;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;28
2. Aakirkeby;1. Allinge;H;Borgernes Parti - Lars Boje Mathiesen;Charlotte Friberg Henriksen;0
2. Aakirkeby;1. Allinge;I;Liberal Alliance;Partiliste;83
2. Aakirkeby;1. Allinge;I;Liberal Alliance;Eik Dahl Bidstrup;6
2. Aakirkeby;1. Allinge;M;Moderaterne;Partiliste;57
2. Aakirkeby;1. Allinge;M;Moderaterne;Kirstine van Sabben;51
2. Aakirkeby;1. Allinge;M;Moderaterne;Lasse Oszadlik;0
2. Aakirkeby;1. Allinge;O;Dansk Folkeparti;Partiliste;157
2. Aakirkeby;1. Allinge;O;Dansk Folkeparti;Bo Vibe Ancher Jensen;37
2. Aakirkeby;1. Allinge;V;Venstre, Danmarks Liberale Parti;Partiliste;46
2. Aakirkeby;1. Allinge;V;Venstre, Danmarks Liberale Parti;Peter Juel-Jensen;230
2. Aakirkeby;1. Allinge;V;Venstre, Danmarks Liberale Parti;Niklas Stenbye;80
2. Aakirkeby;1. Allinge;V;Venstre, Danmarks Liberale Parti;Birthe Tindbæk Bredo;0
2. Aakirkeby;1. Allinge;Æ;Danmarksdemokraterne - Inger Støjberg;Partiliste;48
2. Aakirkeby;1. Allinge;Æ;Danmarksdemokraterne - Inger Støjberg;Michael Hendriksen;20
2. Aakirkeby;1. Allinge;Ø;Enhedslisten - De Rød-Grønne;Partiliste;71
2. Aakirkeby;1. Allinge;Ø;Enhedslisten - De Rød-Grønne;Morten Riis;26
2. Aakirkeby;1. Allinge;Ø;Enhedslisten - De Rød-Grønne;Helle Munk Ravnborg;21
2. Aakirkeby;1. Allinge;Ø;Enhedslisten - De Rød-Grønne;Asta Kofod;10
2. Aakirkeby;1. Allinge;Å;Alternativet;Partiliste;40
2. Aakirkeby;1. Allinge;Å;Alternativet;Kim Hjerrild;2
2. Aakirkeby;1. Allinge;Å;Alternativet;Sofie Valbjørn;4
2. Aakirkeby;2. Østerlars;A;Socialdemokratiet;Partiliste;157
2. Aakirkeby;2. Østerlars;A;Socialdemokratiet;Lea Wermelin;191
2. Aakirkeby;2. Østerlars;A;Socialdemokratiet;Kasper Flygare;15
2. Aakirkeby;2. Østerlars;A;Socialdemokratiet;Christian Faurholdt Jeppesen;9
2. Aakirkeby;2. Østerlars;B;Radikale Venstre;Partiliste;24
2. Aakirkeby;2. Østerlars;B;Radikale Venstre;Simon Bech Munch-Petersen;8
2. Aakirkeby;2. Østerlars;B;Radikale Venstre;Laila Stougaard Kofoed Espersen;3
2. Aakirkeby;2. Østerlars;C;Det Konservative Folkeparti;Partiliste;45
2. Aakirkeby;2. Østerlars;C;Det Konservative Folkeparti;Peter Svarre Fridolf;10
2. Aakirkeby;2. Østerlars;C;Det Konservative Folkeparti;Kristoffer Kromand;19
2. Aakirkeby;2. Østerlars;F;SF - Socialistisk Folkeparti;Partiliste;73
2. Aakirkeby;2. Østerlars;F;SF - Socialistisk Folkeparti;Sebastian Bloch Jensen;135
2. Aakirkeby;2. Østerlars;F;SF - Socialistisk Folkeparti;Sofie Christiansen;15
2. Aakirkeby;2. Østerlars;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;31
2. Aakirkeby;2. Østerlars;H;Borgernes Parti - Lars Boje Mathiesen;Charlotte Friberg Henriksen;0
2. Aakirkeby;2. Østerlars;I;Liberal Alliance;Partiliste;80
2. Aakirkeby;2. Østerlars;I;Liberal Alliance;Eik Dahl Bidstrup;11
2. Aakirkeby;2. Østerlars;M;Moderaterne;Partiliste;60
2. Aakirkeby;2. Østerlars;M;Moderaterne;Kirstine van Sabben;41
2. Aakirkeby;2. Østerlars;M;Moderaterne;Lasse Oszadlik;1
2. Aakirkeby;2. Østerlars;O;Dansk Folkeparti;Partiliste;126
2. Aakirkeby;2. Østerlars;O;Dansk Folkeparti;Bo Vibe Ancher Jensen;36
2. Aakirkeby;2. Østerlars;V;Venstre, Danmarks Liberale Parti;Partiliste;49
2. Aakirkeby;2. Østerlars;V;Venstre, Danmarks Liberale Parti;Peter Juel-Jensen;217
2. Aakirkeby;2. Østerlars;V;Venstre, Danmarks Liberale Parti;Niklas Stenbye;33
2. Aakirkeby;2. Østerlars;V;Venstre, Danmarks Liberale Parti;Birthe Tindbæk Bredo;0
2. Aakirkeby;2. Østerlars;Æ;Danmarksdemokraterne - Inger Støjberg;Partiliste;67
2. Aakirkeby;2. Østerlars;Æ;Danmarksdemokraterne - Inger Støjberg;Michael Hendriksen;12
2. Aakirkeby;2. Østerlars;Ø;Enhedslisten - De Rød-Grønne;Partiliste;75
2. Aakirkeby;2. Østerlars;Ø;Enhedslisten - De Rød-Grønne;Morten Riis;47
